Name,Abbreviation,Category,StartDate,Season,CNOrUS,Location,Group,Length,Cost,Bonus,Host,Contact,Note,,,,,,,,,,,,,,,
World Robot Olympiad,WRO,___&___,,,_____,2019_11_8_-10____,1.___:__< 13_  2.___:13_≤__<16_3.___: 16_≤__< 20_4.___:10___< 20_5.___:__≥17_  2.________________2-3__________  3.______20___________________________4.____________________,,,,___________,,,,,,,,,,,,,,,,,
FIRST Tech Challenge,FTC,___&___,__2020_5__2021_4_,,_____,,__10+___12-18_____ ____2__________________,,"_______400_______________________ _________ ______  ________275______  ____________________2,250___ __MATRIX_______",,__FIRST______,,,,,,,,,,,,,,,,,
American Computer Science League,ACSL,___&___,__2019_12__2020_6_,,_____,,,,,,,,,,,,,,,,,,,,,,,
Kaggle Competitions,,___&___,,,_____,,1.__________2._________,,,,Kaggle Competitions,,,,,,,,,,,,,,,,,
Topcoder,,___&___,2019__,,_____,,,,,,,,,,,,,,,,,,,,,,,
CODEFORCES,,___&___,2019__,,_____,,,,,,,,,,,,,,,,,,,,,,,
ACM ICPC,,___&___,2019__,,_____,,,,,,,,,,,,,,,,,,,,,,,
Botball Educational Robotics Program,,___&___,__2020_4__7_,,_____,,,,,,MIT___________________,,,,,,,,,,,,,,,,,
RoboRave International,,___&___,__2019_10__2020_2_,,_____,,____,,300-2000,700-2000,2001__25_____________________,,,,,,,,,,,,,,,,,
Canadian Computing Competition,CCC,___&___,__2020_10__2021_2_,,_____,,_____,,8___,,_____________(CEMC).__________,,,,,,,,,,,,,,,,,
MIT Battlecode,,___&___,__2020_1__2020_2_,,_____,,1. 1-4_____2._____________full time students________final tournaments__,,,"$50,000+",________,,,,,,,,,,,,,,,,,
2019 Google Science Fair,,__,2019_9_,,_____,,2018_12_12___13__,,,,Google,,,,,,,,,,,,,,,,,
Intel International Science and Engineering Fair,Intel ISEF,__,,,_____,,,,,$500-75000,,,,,,,,,,,,,,,,,,
2019 YouthMaker Technology& Science Fair,,__,__2020_3__7_,,_____,,"1.12-19___1-2_____  _______________19__,_________2._____________________________",,,_______:_30_ _______:_10_ _____:____ ________________________,,,,,,,,,,,,,,,,,,
Regeneron Science Talent Search,Regeneron STS,__,__2020_6__2021_3_,,_____,,1.________  _______________________________12______________(____) 2.___________________________STS___3._________13_____________4._____5.______,,,$25000-250000,____________________,,,,,,,,,,,,,,,,,
Breakthrough Junior Challenge,,__,__2020_4__2020_7_,,_____,,13-18______,,,"250,000_______",,,,,,,,,,,,,,,,,,
Destination Imagination,DI,__,__2019_8__2020_5_,,_____,,_2-7______1___,,,,,,,,,,,,,,,,,,,,,
2019 Yau Science Awards,,__,,,_____,,,,,3_-15____,,,,,,,,,,,,,,,,,,
2019 The International Exhibition for Young Inventors,,__,__2019_6__2020__,,_____,,1. 6-19________/____________  _____: 6-14______: 15-19_ 2.____________1-3_,,,"__:____10% __:____35% __:____55% ___: 35%,_______",,,,,,,,,,,,,,,,,,
2019 United States Academic Decathlon,USAD,__,__2020_2__4_,,_____,,,,____ 3600__ ____2400_/_2600_/_2800_/_,,,,,,,,,,,,,,,,,,,
National Science Bowl,NSB,__,__2019____2020_4_,,_____,,____,,,,,,,,,,,,,,,,,,,,,
International Space Settlement Design Competition,ISSDC,__,__2020___,,_____,,____,,220__,,,,,,,,,,,,,,,,,,,
International Junior Science Olympiad,JSO,__,__2020___,,_____,,___12_31__16___________________________,,100___,1000-5000___,,,,,,,,,,,,,,,,,,
National Speech and Debate Association,NSDA,_______,"_______  ______________ ___________________2019_11_-12_____2019_3-5____ __________2019_8_ Tournament of Champions China_ TOC__________2019_2_2_-4_ _______  Tournament of Champions_TOC ______________ NSDA________2019_8_ NSDA________2019_7__ NSDA______________",,_____,,___________,,275____,,Bruno Ernst Jacob____,,,,,,,,,,,,,,,,,
National High School Debate League of China,NHSDLC,____,"_____1____2019_2_1_-2_7_  _____1____2019_2_8_-2_14_  _____1____2019_1_25_-1_31_  _____2____2019_2_1_-2_7_  _____________2019_2_7_-2_12_  __________2019_2_14_-2_19_  NHSDLC 2019 ______2019_3_23_-5_26_  NHSDLC 2018 ________2019_7_11_-7_19_  NHSDLC 2018 ________2019_7_24_-8_1_  NHSDLC 2018 ________2019_7_24_-8_2_  NHSDLC 2018 ______  ____2019_7_20_-7_21_____  ____2019_8_3_-8_5_____  ____2019_8_3_-8_5_____",,_____,,______,,,,,,,,,,,,,,,,,,,,,
Havard National High School Invitational Forensics Tournament,,__,,,,,,,"_____ Varsity Policy Debate Teams _____– $180.00 Junior Varsity Policy Debate Teams_______ – $160.00 Public Forum Debate Teams (Junior Varsity & Varsity)_____ — $160.00 Novice Public Forum Teams_______ – $120.00 Lincoln-Douglas Entries__-_____ – $135.00 Individual Speech Events_____ – $70.00 Duo Interpretation Teams_____ – $90.00 Student Congress Entries_____– $90.00 School Account Management fee _______– $75.00",,,,,,,,,,,,,,,,,,,
Cal High School Speech and Debate Tournament,,_____,"_______2020_2_15_-18_  _________2019_10_3_______12:00PM  ________2020_1_10_______11:55PM  ___________2020_1_10_______11:00PM",,__,,,,"School Fee (Mandatory for all schools)– $50 3 day parking pass– $36 Congressional Debate – $65 IE’s (except Duo) – $65 Duo – $70 Varsity Policy – $160 JV Policy – $150 Varsity LD – $135 JV LD – $125 Varsity PF – $160 JV PF – $150 Judge Hire IE (Covers 5 entry’s) – $30 Judge Hire Congressional Debate (Covers 5 entry’s) – $30 Judge Hire Policy (Covers 1 Round owed) – $60 Judge Hire LD/PF (Covers 1 Round Owed) – $50",,,,,,,,,,,,,,,,,,,
Model United Nations,MUN,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Linguistics Olympiad,NOL,___,"_______2018_11_-2019_3_  2019______2019_1_27_-2_1_  NOL______2019_4_6___9:00-12:00  NOL_______5_26_-27___2____  __________2019_6_-7_  ________2019_7_26_-28___  IOL__________2019_7_28_-8_2_________(____)",,______,,_______,,"___500_________ ___700__________",,,,,,,,,,,,,,,,,,,
International Philosophy Olympiad,IPO,____,2020__IPO_____2020_5_16-19_,,___,__,"______________________“either at the time of the competition, or, in countries where the school year ends in December in the year before, or earlier than May the same year, even if they are enrolled at a university at the time of the IPO”___________20_ ________1-2_____________10_____",,,,_FISP__________International Federation of Philosophical Societies__ UNESCO____________,,,,,,,,,,,,,,,,,
New York Times Summer Reading Contest,,__,2019_6_14_-8_23_,,__,__,____________________13-19_________________16-19__,,,,____,,,,,,,,,,,,,,,,,
ohn Locke Essay Competition,,__,,,,,________________18_______________2019_7_31____19_______________________Junior Prize____________________14__,,,,______________John Locke Institute_________________________,,,,,,,,,,,,,,,,,
Red dot design award,,__,,,,,,,"Red Dot Award: Product Design________ ______270__ ______350__ ______450__ ____________ Red Dot Award: Communication Design________ ______195__ ______245__ ______315__ Red Dot Award: Design Concept________ _________________ ___________________110____ ___________________150____ ___________________422___________",,,,,,,,,,,,,,,,,,,
International Design Excellence Awards,IDEA,__,"_____________2020_1_2_  _______2020_3_5_  _______2020_3_6_-2018_3_19_  _________2020_4_18_  ___________2020_6_1_",,,,,,"________________________ _____________________________________",,,,,,,,,,,,,,,,,,,
Scholastic Art&Writing Awards,,_____,2019_______2019_9_12_,,__,,____________________,,,,,,,,,,,,,,,,,,,,,
STEAMworks & STEAM Distribution,,____,____,,,__,__,,,,,,,,,,,,,,,,,,,,,
The National High School Journalism Convention,,__,"Thursday, Nov. 21 Friday, Nov. 22 Saturday, Nov. 23 Sunday, Nov. 24 7:30 a.m.-5 p.m. Media Tours 8:30 a.m.-1:30 p.m. JEA Board Meeting 8:30 a.m.-5 p.m. Pre-convention Workshops 1-7 p.m. Convention Check-in 1-7 p.m. JEA Bookstore 6:30 p.m. First-time Attendee Orientation (Advisers Only) 7:30-9 p.m. Opening Ceremony/Keynote Speaker 9-10:30 p.m. Adviser Kickoff Reception Midnight Convention Curfew 7:30 a.m.-5 p.m. Adviser Hospitality 8 a.m. JEA Membership Meeting 8 a.m. Several Broadcast Write-off Contests Begin 8-10:30 a.m. Write-off Desk Open 8 a.m.-4 p.m. Convention Check-in and JEA Bookstore 9 a.m. Breakout Sessions Begin 9-11 a.m. Break with a Pro Noon-3:30 p.m. On-site Critiques 3:30-6 p.m. CJE/MJE Testing 4-6 p.m. Write-off Contests 4 p.m. NSPA Best of Show Deadline 6 p.m. Write-off Judging and Dinner 6-8 p.m. Pizza Party 8:30-10:30 p.m. Student Swap Shops 8:30-11 p.m. Adviser Reception/SPLC Auction 8:30-11 p.m. Student Movie Night Midnight Convention Curfew 7:30 a.m.-noon Adviser Hospitality 8 a.m. Breakout Sessions Begin 8-11 a.m. JEA Bookstore 8 a.m.-1 p.m. Convention Check-in 9-11 a.m. On-site Critiques Noon-2:20 p.m. Adviser Awards Luncheon 3:30-6 p.m. NSPA Awards Ceremony (includes Best of Show, Pacemakers and Individual Awards) 8-9:30 p.m. Student Trivia Midnight Convention Curfew 8:30-10:30 a.m. JEA Awards Ceremony (includes Write-off results)",,_____,,,,,,the Journalism Education Association(JEA)____________the National Scholastic Press Association (NSPA)________,,,,,,,,,,,,,,,,,
Future Business Leaders of America-Phi Beta Lambda – National Leadership Conference,,__,"_______2018_9__10_  __________2018_10__2019_2_  ___________2019_3_  _____________2019_4_  ________2019_6_29_-7_2_____San Antonio______",,_____,____San Antonio______,_________3___,,________299_,,,,,,,,,,,,,,,,,,,
Wharton KWHS Investment Competition,KWHS,__,"_______ _______2019_8_6_  _______2019_9_16_  OTIS_______2019_10_1_  ___________2019_11_5_  OTIS_______2019_12_7_  ___________2019_12_17_  __________2020_1_11_  _____Region 1______ :2020_3_2_  ________Region 3____2020_3_16_  ________2020_5_3_-4_",,,__,9-12__________,,__,,,,,,,,,,,,,,,,,,,
Students for the Advancement of Global Entrepreneurship,SAGE,__,,,__,___,_____3_13-19______1________,,,,,,,,,,,,,,,,,,,,,
The Diamond Challenge,,__,"_________2019_8_31_  _________2019_12_30_11:59pm EST",,_____,,9-12___14-18___________________,,__,,,,,,,,,,,,,,,,,,,
China Thinks Big,CTB,_______,"_______2019_9__2019_2_  _________2019_10_15_ _________2019_11_15_ _______________2019_12_3_ _____________2020_2_4_ _______2019_2_5_-12__2019_1_______  _______2019_3_3_-4__2019_3_10_-11_  ___________2019_4_",,,,,,,,,,,,,,,,,,,,,,,,,
Ideas for Action,14A,__,__2020_2_,,_____,,18_35____,,,,_________________________________,,,,,,,,,,,,,,,,,
Model Entrepreneur Competition,ME,__,,,_____,,9- 12_____________5-8_,,400_/_(VFA Club__310_/_),,__________VFA (The Venture ForAllR)____Wold lournal SE 1C________,,,,,,,,,,,,,,,,,
National Economics Challenge,NEC,__,__2019_9__2020_5_,,_____,,,,,,,,,,,,,,,,,,,,,,,
International Economics Olympiad,IEO,__,__2020_5__8_,,_____,,_____________20__,,,,,,,,,,,,,,,,,,,,,
MIT LaunchX,,__,__2020_3__7_,,_____,,___,,,,,,,,,,,,,,,,,,,,,
,,__,,,_____,,,,,,,,,,,,,,,,,,,,,,,
,,__,,,_____,,,,,,,,,,,,,,,,,,,,,,,
,,,,,_____,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
